Merk;Type;Omschrijving;Component code;Artikelnummer Eriks;Artikelnummer TU;Co2 eq kg;Gewicht [kg];Gietijzer;Metalen;Fossiele materialen;Aluminium;Staal;RVS;Koper;Brons;Keramiek;Rubber;polymeren en compositen;Injectie gevormde magneet;elektra
Grundfoss;ALPHA1 GO 15-40 130;pomp;CP01;n.v.t.;5959434;10,4;1,73;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%
Grundfoss;ALPHA1 25-60 N 180;pomp;CP01;n.v.t.;5795750;10,4;1,82;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%
Grundfoss;DN25 Alpha1 25-80 180;pomp;CP01;n.v.t.;5959364;10,4;2,179;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%
Grundfoss;DN32 Alpha1 32-80 180;pomp;CP01;n.v.t.;5959357;10,4;2,32;48,05%;7,92%;0,00%;8,12%;12,48%;5,83%;3,63%;0,05%;1,19%;0,50%;7,87%;1,28%;3,08%
Tour & Anderson;STAD15;Inregelafsluiter (standaard);IRA01-15-ST;n.v.t.;5114517;1,22;0,47;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD20;Inregelafsluiter (standaard);IRA01-20-ST;n.v.t.;5114524;1,22;0,55;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD25;Inregelafsluiter (standaard);IRA01-25-ST;n.v.t.;5114531;1,22;0,68;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD32;Inregelafsluiter (standaard);IRA01-32-ST;n.v.t.;5114538;1,22;1;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD40;Inregelafsluiter (standaard);IRA01-40-ST;n.v.t.;5114545;1,22;1,4;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD50;Inregelafsluiter (standaard);IRA01-50-ST;n.v.t.;5114552;1,22;2;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD-C 15;Inregelafsluiter (luxe);IRA01-15-LX;n.v.t.;2821692;1,22;0,62;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD-C 20;Inregelafsluiter (luxe);IRA01-20-LX;n.v.t.;2821700;1,22;0,72;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD-C 25;Inregelafsluiter (luxe);IRA01-25-LX;n.v.t.;2821767;1,22;0,88;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD-C 32;Inregelafsluiter (luxe);IRA01-32-LX;n.v.t.;2821783;1,22;1,2;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD-C 40;Inregelafsluiter (luxe);IRA01-40-lX;n.v.t.;2821791;1,22;1,6;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Tour & Anderson;STAD-C 50;Inregelafsluiter (luxe);IRA01-50-LX;n.v.t.;2821809;1,22;2,3;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Oventrop;Hydrocontrol DN15;Inregelafsluiter (alternatief);IRA01-15-AL;n.v.t.;3281752;5,69;0,57;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Oventrop;Hydrocontrol DN20;Inregelafsluiter (alternatief);IRA01-20-AL;n.v.t.;3280079;5,69;0,68;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Oventrop;Hydrocontrol DN25;Inregelafsluiter (alternatief);IRA01-25-AL;n.v.t.;3280086;5,69;0,985;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Oventrop;Hydrocontrol DN32;Inregelafsluiter (alternatief);IRA01-32-AL;n.v.t.;3281759;5,69;1,558;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Oventrop;Hydrocontrol DN40;Inregelafsluiter (alternatief);IRA01-40-AL;n.v.t.;3281766;5,69;1,775;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Oventrop;Hydrocontrol DN50;Inregelafsluiter (alternatief);IRA01-50-AL;n.v.t.;3280240;5,69;2,903;0,00%;92,00%;8,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Eriks;Fig 1602 DN15;kogel afsluiter (standaard);AF01-15-ST;12439117;n.v.t.;5;0,17;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1602 DN20;kogel afsluiter (standaard);AF01-20-ST;12439118;n.v.t.;5;0,28;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1602 DN25;kogel afsluiter (standaard);AF01-25-ST;12439119;n.v.t.;5;0,42;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1602 DN32;kogel afsluiter (standaard);AF01-32-ST;12439121;n.v.t.;5;0,74;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1602 DN40;kogel afsluiter (standaard);AF01-40-ST;12439122;n.v.t.;5;1,04;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1602 DN50;kogel afsluiter (standaard);AF01-50-ST;12439123;n.v.t.;5;1,67;0,00%;92,00%;0,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1607 DN15;kogel afsluiter (luxe);AF01-15-LX;12426343;n.v.t.;5;0,24;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1607 DN20;kogel afsluiter (luxe);AF01-20-LX;12439132;n.v.t.;5;0,39;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1607 DN25;kogel afsluiter (luxe);AF01-25-LX;12439133;n.v.t.;5;0,6;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1607 DN32;kogel afsluiter (luxe);AF01-32-LX;12439134;n.v.t.;5;0,99;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1607 DN40;kogel afsluiter (luxe);AF01-40-LX;12439135;n.v.t.;5;1,52;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;Fig 1607 DN50;kogel afsluiter (luxe);AF01-50-LX;12439136;n.v.t.;5;2,49;0,00%;92,00%;0,00%;5,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,00%;0,00%;0,00%
Eriks;661 Kast 63 schaal 0-60°C;Thermometer (standaard);TI01-ST;11811530;n.v.t.;5,4;0,12;0,00%;70,00%;0,00%;25,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%
Eriks;661 Kast 63 schaal 0-60°C;Thermometer (luxe);TI01-LX;11811530;n.v.t.;5,4;0,12;0,00%;70,00%;0,00%;25,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%
Eriks;661 Kast 63 schaal 0-60°C;Thermometer (alternatief);TI01-AL;11811530;n.v.t.;5,4;0,12;0,00%;70,00%;0,00%;25,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%
Siemens;QAE2120.010;Temperatuur transmitter (standaard);TT01-ST;n.v.t.;8915142;5;0,1;0,00%;65,00%;0,00%;0,00%;0,00%;0,00%;10,00%;0,00%;0,00%;0,00%;20,00%;0,00%;5,00%
Siemens;QAE2120.010;Temperatuur transmitter (luxe);TT01-LX;n.v.t.;8915142;5;0,1;0,00%;65,00%;0,00%;0,00%;0,00%;0,00%;10,00%;0,00%;0,00%;0,00%;20,00%;0,00%;5,00%
Siemens;QAE2120.010;Temperatuur transmitter (alternatief);TT01-AL;n.v.t.;8915142;5;0,1;0,00%;65,00%;0,00%;0,00%;0,00%;0,00%;10,00%;0,00%;0,00%;0,00%;20,00%;0,00%;5,00%
Eriks;"schroefdraad 1/2"" - fig 450";Vul en aftapkraan (standaard);VA01-ST;11811285;n.v.t;4,33;0,15;0,00%;20,00%;0,00%;0,00%;0,00%;0,00%;0,00%;75,00%;0,00%;0,00%;5,00%;0,00%;0,00%
Eriks;"schroefdraad 1/2"" - fig 450";Vul en aftapkraan (luxe);VA01-LX;11811285;n.v.t;4,33;0,15;0,00%;20,00%;0,00%;0,00%;0,00%;0,00%;0,00%;75,00%;0,00%;0,00%;5,00%;0,00%;0,00%
oventropp;"schroefdraad 1/2"" type 447";Vul en aftapkraan (alternatief);VA01-AL;n.v.t.;6614002;5,2;0,16;0,00%;95,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,00%;0,00%;0,00%
Geberit;Flowfit DN15 (20mm);Geberit flowfit buis;FF15;n.v.t.;n.v.t.;11,95;0,164;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Geberit;Flowfit DN20 (25mm);Geberit flowfit buis;FF20;n.v.t.;n.v.t.;11,95;0,236;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Geberit;Flowfit DN25 (32mm);Geberit flowfit buis;FF25;n.v.t.;n.v.t.;11,95;0,328;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Geberit;Flowfit DN32 (40mm);Geberit flowfit buis;FF32;n.v.t.;n.v.t.;11,95;0,458;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Geberit;Flowfit DN40 (50mm);Geberit flowfit buis;FF40;n.v.t.;n.v.t.;11,95;0,707;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Geberit;Flowfit DN50 (63mm);Geberit flowfit buis;FF50;n.v.t.;n.v.t.;11,95;0,996;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Geberit;Flowfit DN65 (75mm);Geberit flowfit buis;FF65;n.v.t.;n.v.t.;11,95;1,465;0,00%;0,00%;52,00%;48,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN15;Stalen buis;S15;n.v.t.;n.v.t.;1,92;1,22;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN20;Stalen buis;S20;n.v.t.;n.v.t.;1,92;1,57;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN25;Stalen buis;S25;n.v.t.;n.v.t.;1,92;2,43;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN32;Stalen buis;S32;n.v.t.;n.v.t.;1,92;3,13;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN40;Stalen buis;S40;n.v.t.;n.v.t.;1,92;3,6;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN50;Stalen buis;S50;n.v.t.;n.v.t.;1,92;5,1;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN65;Stalen buis;S65;n.v.t.;n.v.t.;1,92;6,54;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Van Leeuwen;Stalen buis DN80;Stalen buis;S80;n.v.t.;n.v.t.;1,92;8,53;0,00%;100,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
